1 	 2 
2 	 4 
3 	 7 
4 	 14 
5 	 19 
6 	 29 
7 	 40 
8 	 52 
9 	 70 
10 	 80 
11 	 101 
12 	 120 
13 	 135 
14 	 145 
15 	 180 
16 	 205 
17 	 227 
18 	 241 
19 	 284 
20 	 334 
